id_estacao,latitude,longitude,local_estacao
971,32.63655,-16.935592,"Madeira, Funchal, Lido"
972,32.693491,-16.903955,"Madeira, Pico Alto"
973,32.71666667,-16.91666667,"Madeira, Areeiro"
974,32.735107,-16.928271,"Madeira, Pico do Areeiro"
975,32.7258972,-16.816822,"Madeira, Santo da Serra"
976,32.675833,-16.906944,Monte (Madeira)
978,32.747,-16.706,"Madeira, S. Lourenço"
980,32.831,-17.202,"Madeira, Lombo da Terça"
984,32.6629722,-17.01503611,"Madeira, Quinta Grande"
986,32.681502,-17.104167,"Madeira, Ponta do Sol"
987,32.757205,-17.201551,Prazeres (Calheta)
990,32.81666667,-17.26666667,"Madeira, Calheta"
3021,40.54575278,-8.20829722,"Tondela, Caramulinho"
1200501,39.45819,-31.1301,Flores (Aeródromo)
1200502,39.67389,-31.11362,Corvo (Aeródromo)
1200504,38.55219,-28.44137,Pico (Aeródromo)
1200506,38.540781,-28.63225,Horta (Obs. Principe Alberto)
1200507,39.09036,-28.02852,Graciosa (Aeródromo)
1200510,38.66,-28.17,São Jorge
1200511,38.6659435,-27.216567,Angra do Heroísmo
1200512,37.74414,-25.6953048,P. Delgada (Aeródromo)
1200515,36.967175,-25.1679,Santa Maria (Aeródromo)
1200521,32.69688,-16.77612,Santa Catarina (Aeródromo)
1200522,32.64786,-16.888,Funchal
1200524,33.074029,-16.34868,Porto Santo
1200531,39.38,-9.40737778,Cabo Carvoeiro
1200533,37.012835,-8.949089,Sagres
1200535,38.71907778,-9.14972222,Lisboa (Geofísico)
1200541,37.954504,-8.838271,Sines
1200545,41.233502,-8.681332,"Porto, Pedras Rubras (Aeródromo)"
1200548,40.15006944,-8.46669167,Coimbra (Aeródromo)
1200551,41.648875,-8.804606,"Viana Castelo, Chafé"
1200554,37.016579,-7.971953,Faro (Aeródromo)
1200558,38.53336389,-7.88338056,Évora (C.Coordenação)
1200559,40.72645,-7.887472,Viseu (Aeródromo)
1200560,40.71492222,-7.89592222,Viseu (C.Coordenação)
1200562,38.02493056,-7.867275,Beja
1200567,41.27418611,-7.7171,Vila Real
1200568,40.41136667,-7.55865278,Penhas Douradas
1200570,39.83339444,-7.46678889,Castelo Branco
1200571,39.29546944,-7.41996944,Portalegre
1200575,41.80388889,-6.74283889,Bragança
1200576,41.85763611,-6.70796389,Bragança (Aeródromo)
1200579,38.76620278,-9.12749444,Lisboa (G.Coutinho)
1210513,37.7464,-25.662283,P. Delgada (Obs. A. Chaves)
1210520,30.140595,-15.869153,Ilhas selvagens
1210577,37.54710833,-8.72899167,"Odemira, S.Teotónio"
1210604,41.96673056,-8.66676111,V.N.Cerveira (Aeródromo)
1210605,42.06669,-8.383347,"Monção, Valinha"
1210606,42.03333333,-8.18333333,"Lamas de Mouro, P.Ribeiro"
1210611,41.82276667,-7.78797778,Montalegre
1210612,41.8434,-7.0034416,Vinhais
1210615,41.75013889,-8.56671389,Ponte de Lima
1210616,41.72516667,-7.46540833,Chaves (Aeródromo)
1210619,41.71666667,-8.01666667,Cabril
1210622,41.56678056,-8.45003056,"Braga, Merelim"
1210630,41.53333333,-7.96666667,Cabeceiras de Basto
1210632,41.51478611,-7.19083889,Mirandela
1210633,41.56666667,-6.78333333,"Macedo Cavaleiros, Bagueixe"
1210635,41.51666667,-6.28333333,Miranda do Douro
1210637,41.33333333,-6.73333333,Mogadouro
1210643,41.27365,-8.38012,Paços Ferreira
1210644,41.23333333,-7.28333333,Carrazêda de Ansiães
1210649,41.18445,-8.64445,S. Gens
1210654,41.18333333,-7.01666667,Moncorvo
1210655,41.172775,-7.5489722,"Pinhão, Santa Bárbara"
1210657,41.14585,-8.2490333,Luzim
1210663,40.98333333,-7.6,Moimenta da Beira
1210666,40.78333333,-7.36666667,"Trancoso, Bandarra"
1210669,40.93333333,-8.25,Arouca
1210671,40.75,-6.88333333,"F. Castelo Rodrigo, V.Torpim"
1210683,40.53333333,-7.26666667,Guarda
1210685,40.51666667,-7.85,Nelas
1210686,40.145653,-7.92704,"Pampilhosa da Serra, Fajão"
1210687,40.264309,-7.482302,Covilhã (Aeródromo)
1210690,40.35425833,-7.38931111,Aldeia Souto (Q. Lageosa)
1210697,40.143922,-8.244066,Lousã (Aeródromo)
1210698,40.14063611,-7.55362778,Fundão
1210702,40.63529722,-8.65958333,Aveiro (Universidade)
1210704,40.445955,-8.76168055,Dunas de Mira
1210705,40.438852,-8.439996,Anadia
1210707,40.2134694,-8.45515277,"Coimbra, Bencanta"
1210713,40.139764,-8.805945,"Figueira da Foz, Vila Verde"
1210716,39.9,-8.4,Ansião
1210718,39.780553,-8.818166,Leiria (Aeródromo)
1210721,39.76361944,-9.03058889,São Pedro de Moel
1210724,39.6,-8.36666667,"Tomar, Valdonas"
1210726,39.51666667,-8.96666667,Alcobaça
1210729,39.35,-8.93333333,Rio Maior
1210734,39.201216,-8.736656,"Santarém, Fonte Boa"
1210739,39.04389444,-9.179,"Torres Vedras, Dois Portos"
1210744,38.94096667,-8.51073611,Coruche
1210746,39.12594166,-9.3790388,Santa Cruz (Aeródromo)
1210747,38.8126,-9.46,"Sintra, Colares"
1210750,38.78171,-9.4975361,Cabo da Roca
1210762,38.70956111,-9.182825,"Lisboa, Tapada da Ajuda"
1210765,38.70900833,-9.48538333,Cabo Raso
1210766,38.67448611,-9.04766111,"Barreiro, Lavradio"
1210767,38.65079,-8.63503,Pegões
1210770,38.54846008,-8.89077058,Setúbal
1210773,38.617111,-9.212804,"Almada, P.Rainha"
1210776,38.36666667,-8.48333333,"Alcácer do Sal, Barrosinha"
1210783,37.946806,-8.394504,Alvalade
1210788,37.58195833,-8.74286944,Zambujeira
1210789,37.31675278,-8.80001667,Aljezur
1210790,37.3143,-8.595733,Fóia
1210800,40.33918056,-7.03693333,"Sabugal, Martim Rei"
1210803,39.86666667,-7.01666667,Zebreira
