month,year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,2019,633,405,Macedo de Cavaleiros,4.0,0.5,2.6,1.19
01,2019,633,405,Macedo de Cavaleiros,5.0,0.5,1.4,1.02
01,2019,633,405,Macedo de Cavaleiros,6.0,0.3,6.5,2.1
01,2019,633,405,Macedo de Cavaleiros,7.0,0.3,9.2,3.81
01,2019,633,405,Macedo de Cavaleiros,8.0,0.1,7.6,3.04
01,2019,635,406,Miranda do Douro,1.0,0.1,4.1,0.88
01,2019,635,406,Miranda do Douro,2.0,0.1,5.1,1.52
01,2019,635,406,Miranda do Douro,3.0,0.2,6.2,2.25
01,2019,635,406,Miranda do Douro,4.0,0.4,2.5,0.91
01,2019,635,406,Miranda do Douro,5.0,0.4,1.6,1.06
01,2019,635,406,Miranda do Douro,6.0,0.3,7.0,2.94
01,2019,635,406,Miranda do Douro,7.0,0.3,10.7,4.75
01,2019,635,406,Miranda do Douro,8.0,0.2,5.5,1.77
01,2019,632,407,Mirandela,1.0,0.0,6.6,0.65
01,2019,632,407,Mirandela,2.0,0.1,3.1,0.67
01,2019,632,407,Mirandela,3.0,0.2,3.1,0.83
01,2019,632,407,Mirandela,4.0,0.4,5.6,1.19
01,2019,632,407,Mirandela,5.0,0.3,7.2,1.92
01,2019,632,407,Mirandela,6.0,0.3,7.5,1.92
01,2019,632,407,Mirandela,7.0,0.3,7.5,1.2
01,2019,632,407,Mirandela,8.0,0.1,9.9,2.54
01,2019,654,409,Torre de Moncorvo,1.0,0.0,3.3,0.94
01,2019,654,409,Torre de Moncorvo,2.0,0.1,3.0,1.04
01,2019,654,409,Torre de Moncorvo,3.0,0.3,5.4,1.86
01,2019,654,409,Torre de Moncorvo,4.0,0.4,4.6,1.43
01,2019,654,409,Torre de Moncorvo,5.0,0.3,1.6,0.99
01,2019,654,409,Torre de Moncorvo,6.0,0.5,8.4,3.21
01,2019,654,409,Torre de Moncorvo,7.0,0.3,7.8,2.76
01,2019,654,409,Torre de Moncorvo,8.0,0.1,6.3,2.15
01,2019,612,412,Vinhais,1.0,0.5,4.6,1.36
01,2019,612,412,Vinhais,2.0,0.5,8.2,1.73
01,2019,612,412,Vinhais,3.0,0.4,11.5,2.87
01,2019,612,412,Vinhais,4.0,0.5,5.2,1.61
01,2019,612,412,Vinhais,5.0,0.3,1.8,1.02
01,2019,612,412,Vinhais,6.0,0.4,4.8,1.73
01,2019,612,412,Vinhais,7.0,0.4,11.1,3.18
01,2019,612,412,Vinhais,8.0,0.4,11.0,3.12
01,2019,570,502,Castelo Branco,1.0,0.0,5.8,2.67
01,2019,570,502,Castelo Branco,2.0,0.2,6.4,2.87
01,2019,570,502,Castelo Branco,3.0,0.5,4.3,1.88
01,2019,570,502,Castelo Branco,4.0,0.7,2.3,1.36
01,2019,570,502,Castelo Branco,5.0,1.1,1.7,1.35
01,2019,570,502,Castelo Branco,6.0,0.6,6.1,3.65
01,2019,570,502,Castelo Branco,7.0,0.5,7.9,3.89
01,2019,570,502,Castelo Branco,8.0,0.6,10.9,3.53
01,2019,687,503,Covilhã,1.0,0.1,7.2,2.03
01,2019,687,503,Covilhã,2.0,0.2,9.2,2.92
01,2019,687,503,Covilhã,3.0,0.2,6.9,2.5
01,2019,687,503,Covilhã,4.0,0.3,6.7,1.3
01,2019,687,503,Covilhã,5.0,0.3,7.3,2.66
01,2019,687,503,Covilhã,6.0,0.3,8.0,2.29
01,2019,687,503,Covilhã,7.0,0.2,9.2,1.31
01,2019,687,503,Covilhã,8.0,0.1,9.5,1.74
01,2019,698,504,Fundão,1.0,0.4,4.9,1.58
01,2019,698,504,Fundão,2.0,0.4,3.9,2.06
01,2019,698,504,Fundão,3.0,0.5,5.1,2.34
01,2019,698,504,Fundão,4.0,0.3,5.1,2.32
01,2019,698,504,Fundão,5.0,0.3,3.4,1.25
01,2019,698,504,Fundão,6.0,0.5,5.7,2.01
