month,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,6212126,306,Esposende,3.0,0.4,7.0,2.59
01,6212126,306,Esposende,4.0,0.4,11.0,3.01
01,6212126,306,Esposende,5.0,0.4,14.8,4.84
01,6212126,306,Esposende,6.0,0.4,10.1,5.0
01,6212126,306,Esposende,7.0,0.3,15.1,6.8
01,6212126,306,Esposende,8.0,0.6,17.2,5.14
01,6212121,310,Terras de Bouro,1.0,0.2,2.0,0.94
01,6212121,310,Terras de Bouro,2.0,0.2,3.3,1.04
01,6212121,310,Terras de Bouro,3.0,0.2,9.0,2.42
01,6212121,310,Terras de Bouro,4.0,0.3,3.2,1.15
01,6212121,310,Terras de Bouro,5.0,0.2,4.0,1.61
01,6212121,310,Terras de Bouro,6.0,0.2,6.0,1.68
01,6212121,310,Terras de Bouro,7.0,0.2,8.3,2.32
01,6212121,310,Terras de Bouro,8.0,0.3,8.9,1.95
01,6212410,312,Vila Nova de Famalicão,1.0,0.0,5.7,1.96
01,6212410,312,Vila Nova de Famalicão,2.0,0.1,3.9,1.29
01,6212410,312,Vila Nova de Famalicão,3.0,0.0,3.6,1.1
01,6212410,312,Vila Nova de Famalicão,4.0,0.0,6.3,1.29
01,6212410,312,Vila Nova de Famalicão,5.0,0.0,8.8,1.72
01,6212410,312,Vila Nova de Famalicão,6.0,0.0,9.9,2.63
01,6212410,312,Vila Nova de Famalicão,7.0,0.0,7.1,2.26
01,6212410,312,Vila Nova de Famalicão,8.0,0.0,5.5,1.22
01,6212123,313,Vila Verde,1.0,0.2,3.4,1.36
01,6212123,313,Vila Verde,2.0,0.1,4.9,1.47
01,6212123,313,Vila Verde,3.0,0.1,3.8,1.02
01,6212123,313,Vila Verde,4.0,0.1,2.2,0.71
01,6212123,313,Vila Verde,5.0,0.2,4.4,1.1
01,6212123,313,Vila Verde,6.0,0.1,4.6,1.38
01,6212123,313,Vila Verde,7.0,0.1,5.2,1.26
01,6212123,313,Vila Verde,8.0,0.1,5.1,0.82
01,1200575,402,Bragança,1.0,0.0,5.8,1.1
01,1200575,402,Bragança,2.0,0.1,9.4,2.08
01,1200576,402,Bragança,3.0,0.1,7.1,1.69
01,1200575,402,Bragança,4.0,0.2,8.7,1.52
01,1200575,402,Bragança,5.0,0.2,8.8,2.36
01,1200575,402,Bragança,6.0,0.2,9.6,2.47
01,1200576,402,Bragança,7.0,0.2,12.4,3.83
01,575,402,Bragança,8.0,0.1,9.8,2.58
01,644,403,Carrazeda de Ansiães,1.0,0.0,5.8,1.11
01,1210644,403,Carrazeda de Ansiães,2.0,0.0,7.1,1.69
01,1210644,403,Carrazeda de Ansiães,3.0,0.0,6.9,1.77
01,1210644,403,Carrazeda de Ansiães,4.0,0.0,2.4,0.55
01,1210644,403,Carrazeda de Ansiães,5.0,0.0,8.0,2.14
01,1210644,403,Carrazeda de Ansiães,6.0,0.0,6.1,1.94
01,1210644,403,Carrazeda de Ansiães,7.0,0.0,3.8,0.86
01,1210644,403,Carrazeda de Ansiães,8.0,0.0,3.8,0.99
01,633,405,Macedo de Cavaleiros,1.0,0.0,5.6,0.48
01,1210633,405,Macedo de Cavaleiros,2.0,0.0,7.3,1.82
