year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
2018,635,406,Miranda do Douro,2.0,0.2,7.7,1.97
2018,635,406,Miranda do Douro,3.0,0.6,4.8,2.07
2018,635,406,Miranda do Douro,4.0,0.7,1.5,1.03
2018,635,406,Miranda do Douro,5.0,0.5,1.6,0.96
2018,635,406,Miranda do Douro,6.0,0.6,9.8,3.05
2018,635,406,Miranda do Douro,7.0,0.5,8.4,3.56
2018,635,406,Miranda do Douro,8.0,0.2,0.7,0.48
2018,632,407,Mirandela,1.0,0.0,2.5,0.68
2018,632,407,Mirandela,2.0,0.1,1.7,0.66
2018,632,407,Mirandela,3.0,0.3,2.4,0.94
2018,632,407,Mirandela,4.0,0.4,2.5,1.17
2018,632,407,Mirandela,5.0,0.7,4.7,2.06
2018,632,407,Mirandela,6.0,0.4,3.6,1.35
2018,632,407,Mirandela,7.0,0.3,6.4,1.69
2018,632,407,Mirandela,8.0,0.1,2.1,0.77
2018,654,409,Torre de Moncorvo,1.0,0.1,1.3,0.54
2018,654,409,Torre de Moncorvo,2.0,0.2,2.6,1.01
2018,654,409,Torre de Moncorvo,3.0,0.4,4.5,1.52
2018,654,409,Torre de Moncorvo,4.0,0.3,4.9,1.36
2018,654,409,Torre de Moncorvo,5.0,0.7,10.2,5.69
2018,654,409,Torre de Moncorvo,6.0,0.4,5.2,2.64
2018,654,409,Torre de Moncorvo,7.0,0.3,6.5,2.37
2018,654,409,Torre de Moncorvo,8.0,0.1,1.6,0.62
2018,612,412,Vinhais,1.0,0.5,2.4,1.08
2018,612,412,Vinhais,2.0,0.6,6.1,2.14
2018,612,412,Vinhais,3.0,0.5,10.7,3.83
2018,612,412,Vinhais,4.0,0.3,5.1,1.79
2018,612,412,Vinhais,5.0,0.6,2.7,0.99
2018,612,412,Vinhais,6.0,0.6,2.1,1.02
2018,612,412,Vinhais,7.0,0.5,5.0,1.08
2018,612,412,Vinhais,8.0,0.4,7.0,1.76
2018,570,502,Castelo Branco,1.0,0.0,5.1,1.89
2018,570,502,Castelo Branco,2.0,0.2,4.8,2.3
2018,570,502,Castelo Branco,3.0,0.4,4.2,2.0
2018,570,502,Castelo Branco,4.0,0.6,2.8,1.86
2018,570,502,Castelo Branco,5.0,0.8,2.5,1.48
2018,570,502,Castelo Branco,6.0,0.9,3.4,1.7
2018,570,502,Castelo Branco,7.0,0.4,5.9,2.16
2018,570,502,Castelo Branco,8.0,0.3,6.5,1.14
2018,687,503,Covilhã,1.0,0.0,6.0,0.91
2018,687,503,Covilhã,2.0,0.1,6.8,1.86
2018,687,503,Covilhã,3.0,0.3,5.7,1.48
2018,690,503,Covilhã,4.0,0.3,1.2,0.72
2018,687,503,Covilhã,5.0,0.4,2.8,1.15
2018,687,503,Covilhã,6.0,0.1,5.9,1.19
2018,687,503,Covilhã,7.0,0.2,7.5,0.95
2018,690,503,Covilhã,8.0,0.1,1.8,0.59
2018,698,504,Fundão,1.0,0.4,1.7,0.99
2018,698,504,Fundão,2.0,0.3,2.7,0.97
2018,698,504,Fundão,3.0,0.4,3.7,1.47
2018,698,504,Fundão,4.0,0.4,3.3,1.5
2018,698,504,Fundão,5.0,0.4,1.1,0.78
2018,698,504,Fundão,6.0,0.5,2.3,0.96
2018,698,504,Fundão,7.0,0.4,4.0,1.24
2018,698,504,Fundão,8.0,0.4,7.4,1.29
2018,803,505,Idanha-a-Nova,1.0,0.1,0.3,0.2
2018,803,505,Idanha-a-Nova,2.0,0.2,5.1,2.65
2018,803,505,Idanha-a-Nova,3.0,0.5,5.3,2.34
2018,803,505,Idanha-a-Nova,4.0,0.7,4.4,2.1
2018,803,505,Idanha-a-Nova,5.0,1.0,2.4,1.51
2018,803,505,Idanha-a-Nova,6.0,0.5,3.2,1.81
2018,803,505,Idanha-a-Nova,7.0,0.6,7.2,2.19
2018,803,505,Idanha-a-Nova,8.0,0.6,1.5,1.01
2018,806,508,Proença-a-Nova,1.0,0.1,1.8,0.59
2018,806,508,Proença-a-Nova,2.0,0.2,3.7,1.67
2018,806,508,Proença-a-Nova,3.0,0.4,5.3,2.71
2018,806,508,Proença-a-Nova,4.0,0.5,2.3,1.47
2018,806,508,Proença-a-Nova,5.0,1.0,1.0,1.0
2018,806,508,Proença-a-Nova,6.0,0.7,1.8,1.25
2018,806,508,Proença-a-Nova,7.0,0.4,7.0,2.23
2018,806,508,Proença-a-Nova,8.0,0.2,5.0,1.83
2018,548,603,Coimbra,2.0,0.1,4.4,2.43
2018,548,603,Coimbra,3.0,0.6,3.5,1.85
2018,548,603,Coimbra,4.0,1.0,9.8,2.87
2018,548,603,Coimbra,5.0,1.5,10.1,3.14
2018,548,603,Coimbra,6.0,1.3,3.4,2.03
2018,548,603,Coimbra,7.0,0.4,4.2,1.67
2018,548,603,Coimbra,8.0,3.2,3.9,3.55
2018,697,607,Lousã,1.0,0.3,2.6,0.99
2018,697,607,Lousã,2.0,0.4,3.6,1.68
2018,697,607,Lousã,3.0,0.4,1.9,1.07
2018,697,607,Lousã,4.0,0.2,8.2,1.76
2018,697,607,Lousã,5.0,0.5,7.4,2.3
2018,697,607,Lousã,6.0,0.3,5.2,1.82
2018,697,607,Lousã,7.0,0.4,4.5,1.5
2018,697,607,Lousã,8.0,0.4,1.7,0.85
2018,686,612,Pampilhosa da Serra,1.0,1.5,5.3,2.88
2018,686,612,Pampilhosa da Serra,2.0,1.0,12.0,4.15
2018,686,612,Pampilhosa da Serra,3.0,0.5,14.4,4.86
2018,686,612,Pampilhosa da Serra,4.0,1.0,14.8,5.41
2018,686,612,Pampilhosa da Serra,5.0,1.4,18.6,5.3
2018,686,612,Pampilhosa da Serra,6.0,1.1,4.1,2.29
2018,686,612,Pampilhosa da Serra,7.0,0.9,7.6,3.86
2018,686,612,Pampilhosa da Serra,8.0,0.8,5.2,2.83
2018,837,704,Estremoz,1.0,0.0,0.4,0.16
2018,837,704,Estremoz,2.0,0.1,6.0,1.52
2018,837,704,Estremoz,3.0,0.3,5.6,1.79
2018,837,704,Estremoz,4.0,0.4,2.7,1.1
2018,837,704,Estremoz,5.0,0.5,4.7,1.92
2018,837,704,Estremoz,6.0,0.4,1.7,1.1
2018,837,704,Estremoz,7.0,0.3,4.8,1.64
2018,837,704,Estremoz,8.0,0.1,2.0,0.86
2018,558,705,Évora,1.0,0.1,3.7,1.68
2018,558,705,Évora,2.0,0.2,6.1,1.93
2018,558,705,Évora,3.0,0.4,5.3,2.02
2018,558,705,Évora,4.0,0.4,3.0,1.65
2018,558,705,Évora,5.0,4.3,6.8,5.38
2018,558,705,Évora,6.0,0.5,4.1,1.88
2018,558,705,Évora,7.0,0.5,6.6,1.94
2018,558,705,Évora,8.0,0.2,5.8,1.53
2018,848,709,Portel,1.0,0.0,2.5,0.61
2018,848,709,Portel,2.0,0.1,6.5,1.67
2018,848,709,Portel,3.0,0.3,4.7,1.52
2018,848,709,Portel,4.0,0.4,2.3,1.6
2018,848,709,Portel,5.0,0.4,5.9,3.17
2018,848,709,Portel,6.0,0.7,3.6,1.66
2018,848,709,Portel,7.0,0.4,4.7,1.83
2018,848,709,Portel,8.0,0.3,2.0,0.78
2018,840,711,Reguengos de Monsaraz,1.0,0.1,4.9,1.72
2018,840,711,Reguengos de Monsaraz,2.0,0.3,1.1,0.57
2018,840,711,Reguengos de Monsaraz,3.0,0.0,5.5,2.74
2018,840,711,Reguengos de Monsaraz,4.0,0.2,1.8,1.01
2018,840,711,Reguengos de Monsaraz,5.0,1.0,4.3,2.34
2018,840,711,Reguengos de Monsaraz,6.0,0.7,5.4,2.18
2018,840,711,Reguengos de Monsaraz,7.0,0.3,2.9,1.62
2018,840,711,Reguengos de Monsaraz,8.0,0.0,4.7,2.2
2018,847,713,Viana do Alentejo,1.0,0.5,2.7,1.48
2018,847,713,Viana do Alentejo,2.0,0.6,6.2,2.78
2018,847,713,Viana do Alentejo,3.0,0.5,7.6,2.96
2018,847,713,Viana do Alentejo,4.0,0.6,5.1,2.46
2018,847,713,Viana do Alentejo,5.0,0.8,7.1,3.06
2018,847,713,Viana do Alentejo,6.0,0.6,2.7,1.66
2018,847,713,Viana do Alentejo,7.0,0.6,3.0,1.54
2018,847,713,Viana do Alentejo,8.0,0.8,6.7,2.81
2018,865,802,Alcoutim,1.0,0.0,3.5,1.6
2018,865,802,Alcoutim,2.0,0.3,2.5,1.32
2018,865,802,Alcoutim,3.0,0.5,6.0,2.46
2018,865,802,Alcoutim,4.0,0.8,5.3,2.89
2018,865,802,Alcoutim,5.0,1.4,3.6,2.04
2018,865,802,Alcoutim,6.0,0.6,4.2,1.9
2018,865,802,Alcoutim,7.0,0.3,4.0,1.06
2018,865,802,Alcoutim,8.0,0.2,4.3,1.74
2018,554,805,Faro,1.0,0.1,3.5,1.44
