id_estacao,DICO,Concelho
512,4203,Ponta Delgada
513,4203,Ponta Delgada
515,4101,Vila do Porto
932,4202,Nordeste
1200512,4203,Ponta Delgada
1200515,4101,Vila do Porto
1210513,4203,Ponta Delgada
1210932,4202,Nordeste
11217160,4101,Vila do Porto
11217165,4101,Vila do Porto
11217217,4205,Ribeira Grande
11217225,4203,Ponta Delgada
11217255,4204,Povoação
